date,value
2013-12-14 19:01:36 -0800, 137
2013-12-15 18:54:07 -0800, 31
2013-12-16 18:57:17 -0800, 31
2013-12-17 18:50:52 -0800, 31
2013-12-18 19:57:24 -0800, 32
2013-12-19 20:04:10 -0800, 190
2013-12-20 08:52:52 -0800, 32
2013-12-20 18:29:10 -0800, 32
2013-12-22 00:35:32 -0800, 32
2013-12-22 20:22:41 -0800, 32
2013-12-23 20:26:17 -0800, 32
2013-12-24 19:06:16 -0800, 31
2013-12-25 18:59:38 -0800, 31
2013-12-26 19:11:46 -0800, 31
2013-12-27 19:01:59 -0800, 31
2013-12-28 19:05:44 -0800, 70
2013-12-29 18:51:18 -0800, 31
2013-12-30 18:53:26 -0800, 33
2013-12-31 18:57:51 -0800, 31
2014-01-01 20:06:38 -0800, 31
2014-01-02 20:13:26 -0800, 33
2014-01-03 18:50:55 -0800, 38
2014-01-04 18:56:44 -0800, 33
2014-01-05 20:41:20 -0800, 36
2014-01-06 20:19:24 -0800, 33
2014-01-07 20:26:06 -0800, 32
2014-01-09 03:42:21 -0800, 32
2014-01-09 19:40:43 -0800, 32
2014-01-10 18:13:40 -0800, 33
2014-01-11 18:20:09 -0800, 33
2014-01-12 18:15:17 -0800, 38
2014-01-13 18:15:48 -0800, 33
2014-01-14 18:30:52 -0800, 33
2014-01-15 18:17:13 -0800, 32
2014-01-16 18:24:44 -0800, 32
2014-01-17 18:19:02 -0800, 31
2014-01-18 18:24:27 -0800, 31
2014-01-19 18:19:30 -0800, 31
2014-01-20 18:30:01 -0800, 31
2014-01-21 18:23:36 -0800, 31
2014-01-22 18:30:34 -0800, 31
2014-01-23 18:22:04 -0800, 31
2014-01-24 18:21:59 -0800, 32
2014-01-25 18:26:36 -0800, 31
2014-01-26 18:18:49 -0800, 31
2014-01-27 18:19:12 -0800, 31
2014-01-28 18:30:42 -0800, 31
2014-01-29 18:28:26 -0800, 31
2014-01-30 18:30:37 -0800, 45
2014-01-31 18:20:51 -0800, 31
2014-02-01 18:21:29 -0800, 31
2014-02-02 18:21:03 -0800, 31
2014-02-03 18:32:55 -0800, 31
2014-02-04 18:22:25 -0800, 30
2014-02-06 02:22:32 +0000, 28
2014-02-07 02:21:55 +0000, 26
2014-02-08 02:18:58 +0000, 26
2014-02-09 02:13:47 +0000, 26
2014-02-10 02:20:07 +0000, 26
2014-02-11 02:24:26 +0000, 28
2014-02-12 02:20:58 +0000, 26
2014-02-13 02:26:05 +0000, 31
2014-02-14 02:20:17 +0000, 30
2014-02-15 02:16:56 +0000, 28
2014-02-16 02:18:30 +0000, 28
2014-02-17 02:18:42 +0000, 28
2014-02-18 02:16:56 +0000, 27
2014-02-19 02:17:07 +0000, 27
2014-02-20 02:16:20 +0000, 35
2014-02-21 02:22:58 +0000, 9
2014-02-22 02:21:05 +0000, 9
2014-02-23 02:25:55 +0000, 16
2014-02-24 02:22:11 +0000, 9
2014-02-25 02:20:17 +0000, 7
2014-02-26 02:28:10 +0000, 3
2014-02-27 02:32:57 +0000, 41
2014-02-28 02:32:37 +0000, 45
2014-03-01 02:28:26 +0000, 0
2014-03-02 02:25:35 +0000, 0
2014-03-03 02:43:13 +0000, 6
2014-03-04 02:24:47 +0000, 1
2014-03-05 02:29:07 +0000, 6
2014-03-06 02:30:36 +0000, 1
2014-03-07 02:28:19 +0000, 65
2014-03-08 02:23:28 +0000, 1
2014-03-09 02:30:10 +0000, 1
2014-03-10 02:26:21 +0000, 1
2014-03-11 02:28:59 +0000, 1
2014-03-12 02:25:34 +0000, 1
2014-03-13 02:24:21 +0000, 1
2014-03-14 02:28:16 +0000, 6
2014-03-15 02:34:21 +0000, 1
2014-03-16 02:32:12 +0000, 1
2014-03-17 02:35:47 +0000, 1
2014-03-18 02:33:06 +0000, 1
2014-03-19 02:27:57 +0000, 1
2014-03-20 02:26:16 +0000, 0
2014-03-21 02:27:51 +0000, 1
2014-03-22 02:22:30 +0000, 1
2014-03-23 02:43:10 +0000, 3
2014-03-24 02:41:29 +0000, 3
2014-03-25 02:27:24 +0000, 1
2014-03-26 02:31:02 +0000, 1
2014-03-27 02:31:01 +0000, 1
2014-03-28 02:25:31 +0000, 2
2014-03-29 14:15:13 +0000, 58
2014-03-30 03:27:46 +0100, 2
2014-03-31 02:28:20 +0100, 1
2014-04-01 02:25:38 +0100, 2
2014-04-02 02:26:45 +0100, 1
2014-04-03 02:26:26 +0100, 10
2014-04-04 02:27:44 +0100, 3
2014-04-08 02:45:10 +0100, 3
2014-04-09 02:34:19 +0100, 3
2014-04-10 02:29:20 +0100, 1
2014-04-11 03:55:50 +0100, 86
2014-04-12 02:26:09 +0100, 1
2014-04-13 02:32:19 +0100, 3
2014-04-14 02:31:36 +0100, 3
2014-04-15 02:28:20 +0100, 4
2014-04-16 02:39:08 +0100, 2
2014-04-17 02:29:08 +0100, 3
2014-04-18 02:32:08 +0100, 2
2014-04-19 02:34:01 +0100, 3
2014-04-20 02:31:33 +0100, 2
2014-04-21 02:35:27 +0100, 6
2014-04-22 02:33:13 +0100, 2
2014-04-23 04:00:31 +0100, 3
2014-04-24 02:37:17 +0100, 5
2014-04-25 02:37:16 +0100, 4
2014-04-26 02:41:15 +0100, 3
2014-04-27 02:26:57 +0100, 4
2014-04-28 02:28:38 +0100, 4
2014-04-29 02:42:36 +0100, 2
2014-04-30 02:35:13 +0100, 2
2014-05-01 02:31:30 +0100, 1
2014-05-02 02:37:59 +0100, 2
2014-05-03 02:25:21 +0100, 145
2014-05-04 02:29:16 +0100, 148
2014-05-05 02:38:09 +0100, 147
2014-05-06 02:40:43 +0100, 150
2014-05-07 02:38:56 +0100, 150
2014-05-08 02:36:18 +0100, 4
2014-05-09 02:45:38 +0100, 3
2014-05-10 02:36:07 +0100, 7
2014-05-11 02:34:31 +0100, 2
2014-05-12 02:37:02 +0100, 6
2014-05-13 02:34:43 +0100, 15
2014-05-14 02:37:02 +0100, 3
2014-05-15 02:33:56 +0100, 5
2014-05-16 02:45:47 +0100, 6
2014-05-17 03:02:55 +0100, 11
2014-05-18 02:31:41 +0100, 6
2014-05-19 02:38:50 +0100, 4
2014-05-20 03:01:29 +0100, 6
2014-05-21 02:35:23 +0100, 6
2014-05-22 02:38:45 +0100, 7
2014-05-23 02:33:57 +0100, 155
2014-05-24 02:38:49 +0100, 158
2014-05-25 02:38:13 +0100, 300
2014-05-26 02:38:24 +0100, 156
2014-05-27 02:49:50 +0100, 155
2014-05-28 02:39:07 +0100, 6
2014-05-29 02:39:46 +0100, 5
2014-05-30 02:38:42 +0100, 4
2014-05-31 02:40:59 +0100, 4
2014-06-01 02:35:43 +0100, 5
2014-06-02 02:35:42 +0100, 4
2014-06-03 02:33:52 +0100, 17
2014-06-04 02:36:56 +0100, 2
2014-06-05 02:34:11 +0100, 5
2014-06-06 02:35:25 +0100, 1
2014-06-07 02:34:33 +0100, 1
2014-06-08 02:39:41 +0100, 0
